"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"current_infectionE. falciformis",1.23523708684729,0.80136106453983,1.54142388681762,0.12558959495637,-0.3498240574247,2.82029823111928,"PRF1"
"(Intercept)",-16.5010743641048,0.46965177906059,-35.1347000049924,3.62371175153884e-69,-17.4300273907341,-15.5721213374755,"RETNLB"
"current_infectionE. ferrisi",0.970172042366581,0.675414421860332,1.43641001874728,0.153233770029848,-0.365771521333387,2.30611560606655,"RETNLB"
"current_infectionE. falciformis",-1.23833766392323,0.671527231331348,-1.84406172400208,0.0673994576856958,-2.56659251533043,0.0899171874839733,"RETNLB"
"(Intercept)",-15.9219600886373,0.392900737913794,-40.524128748597,1.03981526675435e-76,-16.6991025288937,-15.1448176483809,"SOCS1"
"current_infectionE. ferrisi",-0.183733197519716,0.565037409796135,-0.325169969871564,0.745563390491896,-1.30135530690213,0.933888911862699,"SOCS1"
"current_infectionE. falciformis",-0.32953607572241,0.561785468474197,-0.586587041166135,0.558475389151521,-1.44072597113669,0.781653819691864,"SOCS1"
"(Intercept)",-15.3875044602022,0.498846003246158,-30.8462017537889,1.82324043283493e-62,-16.374202531408,-14.4008063889964,"TICAM1"
"current_infectionE. ferrisi",-0.505525573281956,0.717399145285413,-0.704664309407333,0.48225128664021,-1.92451329360353,0.913462147039618,"TICAM1"
"current_infectionE. falciformis",-2.24604664541725,0.713270321451043,-3.14894168153247,0.00202368455949065,-3.65686771212787,-0.835225578706634,"TICAM1"
"(Intercept)",-17.8256246615549,0.562680111523591,-31.6798555635595,8.01095736312764e-64,-18.9385841262662,-16.7126651968437,"TNF"
"current_infectionE. ferrisi",1.85833103225861,0.809200090708021,2.2965037369591,0.0232101928523387,0.257764597877147,3.45889746664008,"TNF"
"current_infectionE. falciformis",0.296492940926295,0.804542927895316,0.36852345679294,0.713068892988258,-1.29486180581072,1.88784768766331,"TNF"
