"Variable","Estimate","Std. Error","t value","p-value","Significance"
"(Intercept)",4.71300007227443,0.918010393350322,5.13392888186605,1.0374191323638e-06,"***"
"PC1",-0.0768483492464047,0.39457346202181,-0.194763096465309,0.845889636758133,""
"current_infectionE. ferrisi",5.25827726713682,1.34244879330648,3.91692948986575,0.000145643200398008,"***"
"current_infectionE. falciformis",10.0247388603447,1.31353821722846,7.63185930097766,4.81904489765481e-12,"***"
"PC2",0.346916382395324,0.541801089112412,0.640302113389342,0.523129759068455,""
"PC1:current_infectionE. ferrisi",0.157068682700842,0.590014850388149,0.266211405691759,0.790508112479552,""
"PC1:current_infectionE. falciformis",1.19446283751562,0.50521326895764,2.36427447754894,0.0195811371734458,"*"
"current_infectionE. ferrisi:PC2",-2.61781070755759,0.774186040877788,-3.38137162043048,0.000958930959064503,"***"
"current_infectionE. falciformis:PC2",-1.18543934470794,0.754666168049782,-1.5708128903822,0.118714249587842,""
